key,body,tags,date,watch,answer,chip
12219824572,"女子にとってパンツを脱いだ姿を写真に撮られたらどんな気持ちになりますか？

","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み""]",2020/2/6,3,0,500
14219817134,"ディズニー・リゾートとUSJでは、どちらがお好きですか？

子供じみた質問で恐縮です。

","[""知恵袋トップ"",""地域、旅行、お出かけ"",""国内"",""テーマパーク""]",2020/2/6,7,3,500
14219817239,"長年、仕事の独占欲が強い上司(64歳)のもとでのけ者扱いされ苦汁を味わってきましたが、最近、中途で上司と同世代の方が入社し、私(40歳)を重用してくれています。

中途の方は経験、知識とも
に豊富で上司のそれらとは雲泥の差です。

しかし、上司は中途の人の活躍が自身の地位を下げる原因になると考えたのか、その方の追い出しに躍起になっています。

また、上司は今まで私を干すことで自身の地位を向上させてきた経緯から、私がやる気になっていることが面白くないようです。

こういう場合、私はどのように振る舞えば良いでしょうか？
","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み"",""職場の悩み""]",2020/2/6,3,1,500
13219825143,"彼氏持ちの女の子を好きになってしまいました。バイト先の同い年の女の子です。彼氏がいることを分かった上で好きになってしまいました。しかも、その彼氏は同じバイト先の先輩です。
毎日10往復くらいメッセージ(インスタDM)でやりとりしています。この前は2人で勉強しようということでカフェに行ったりしました(実際は勉強そっちのけでほぼ喋っていましたが)。バイト先でお互い軽いボディタッチもしています。今度2人でご飯に行く約束もしました。
今までの経験上、相手がフリーならまぁ脈アリだろうと思うところなのですが、彼氏持ちとなるとやっぱり違うのかなと思ったりもします。
また、僕が彼女に気があることを彼氏は知っているようです(後輩談)。2人で会ったことも知られていますが、そのことに関して、「おれはそういうの気にしないからどうでもいい」と彼女に言ったそうです。バイト先で彼氏の僕への態度が冷たくなるようなことも今のところありません。彼氏の真意が正直よくわかりません。また、彼氏は他の女の子とよく飲みに行ったり公園でナンパしてワンナイト(orセフレ？)をするような人で、彼女はそのことを知らないみたいです。このことを彼女に伝える気はないでが。

結局何が言いたいかというと、客観的に脈アリなのかということと、今後(特にご飯に行った際)どう振る舞えばいいのかという意見をくれたら嬉しいです。押していいのか、引いて関係悪化を待つのか等。
拙い文章で申し訳ありませんが、回答して頂けたら幸いです。
","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み""]",2020/2/6,0,0,500
10219818660,"こんにちは
今一つのことに悩んでいるのですが、近所のお寺や神社などのいつもお世話になっているところで地道にお祈りして解決したほうがいいのか、それとも３万円ほどかけて祈祷してもらったほうがいいのかどちらがいいのでしょうか？
結構悩んでいます。よろしくお願いします
","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み"",""恋愛相談""]",2020/2/6,10,2,500
14219818919,"バイト先に元いじめっ子が来て、悪意のある感じで馴れ馴れしく「久しぶりじゃーん w w」って話しかけてきたときにどう対応するべきでしょうか？悩んでいます。
昨日バイトの面接を受け、今日無事採用を頂きました。
ですが、面接の段階でわかったことが、私の小中学生時代の同級生が2人働いているということです。ちなみに私は小中学生のときいじめに遭っていました。

1人は女の子で、その子は私がいじめられていたときも仲良くしてくれた優しい子なので良いのですが、もう片方の男の子（A）は直接いじめてくることはありませんでしたが、私の味方なのか敵なのかがわからないです。

しかも何より、その男子は私をいじめてきた同級生（B）ととても仲がいいです。なのでもし、Aが私のことを嫌いだとしたら、Bに「○○（私）が俺のバイト先入ってきたんだけど w」的な感じで教える可能性は十分にあります。そしたら最悪の場合、Bがわざわざ私を見るためにバイト先に来て話しかけてくるといったことも予測されます。そうなったときにどういう対応をすべきでしょうか。
小中学生時代はガン無視してましたが今回店員とお客様といった立場なので無下には扱えません。

真剣に悩んでいます。誰かアドバイスをください。
","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み""]",2020/2/6,10,3,500
14219819654,"教授に嫌われてしまいました。
とてもこまってます。
何が原因なのか、わたしはどうしたらいいのか知りたいです。

こんにちは。
いま、大学で卒論を書いている学生です。
私の大学では、
一度教務に提出をしたあと、冊子にします。
その後、ゼミの先生を含めた3人ほどの先生に口頭で質問されて、合格すれば卒業になります。

教務に提出する際に、私のまとめる能力がないのと先生が忙しいというのもあり、未完成のまま提出することになりました。
そのあと、ゼミの先生以外の2人の先生に審査用にも未完成なものを先に提出しました。
ゼミの先生と話したところ、この未完成の論文では、審査は通らないので、口頭での質問のとき用に作り直して近くなったら差し替えると言われ、承諾しました。
審査1週間前になり、約束通り作り直したものを持っていったところ、急に差し替えることは無理だと言われてしまいました。
このとき、「先生方に提出したときにこれで確定と私は言った」「相談はもう遅い」と怒られてしまいました。
急なことで、何も言えずわかりましたと言って研究室を後にしました。
この時、以前先生が言った通りにしたのになんで？と言うもやもやした感情もあり、複雑な顔をしていたと思います。
最後の提出まではとても仲良かったので、悲しいし、どうして？と言う思いでいっぱいです。理不尽に感じ、苛立ちも感じます。
提出の後すぐは、先生は他の学科の生徒の論文の添削や、授業で忙しいと聞いていたり、書き直したものを見せても、添削が返って来なかったので、忙しいのかな？と遠慮して研究室に行きませんでした。

そのため、落ち着いた今、お話しに行ったのですが、このようなことになってしまいどうしたらいいのかわからない状態です。

自分なりに考えた原因は
•論文に取り掛かるのが遅く、さらにまとめるのが下手で先生に負担をかけてしまった
•先生のところに提出後、すぐに修正したものを遠慮してみせにいかなかった
•怒られたときにうまく返答できず、謝れなかった

です。

審査が近いのにこの論文で挑むことになってしまいそうで不安で仕方ないです。
どうしたら怒りをおさめていただけるでしょうか。
また、何が原因でこんなに嫌われてしまったのでしょう。

よろしくお願いします。
","[""知恵袋トップ"",""子育てと学校"",""大学、短大、大学院"",""大学""]",2020/2/6,9,0,500
14219819864,"漢文の得意な方、教えて下さい。

二つの漢文の訳を教えていただきたいのです。

一つずつしか添付できないようですので、

「その二」をよろしくお願いします。

お礼は５００枚です！

","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み""]",2020/2/6,5,0,500
14219819874,"急ぎで翻訳お願いします。
翻訳機使用は無しでお願いします。

●●オッパへ

ハッピーバレンタイン！
無事に届いたかな？
どうしてもオッパにバレンタインチョコをあげたくて送りました。
私の気持ちを受け取ってくれたら嬉しいです。
私達が会う日を楽しみにしています。
オッパ大好き 

●●より
","[""知恵袋トップ"",""教養と学問、サイエンス"",""言葉、語学"",""韓国・朝鮮語""]",2020/2/6,9,0,500
10219819920,"放送大学に試しに科目履修生として入学してみて、やっていけそうなら全科履修生として入学したいと思ってます。
全科履修生として入学した時に、科目履修生の時に取った単位は認められるのです
か？
また一年間やってみて選科履修生として単位が取れ、全科履修生として再入学した場合、単位が認められるなら、二年生から始められるんですか？
","[""知恵袋トップ"",""生き方と恋愛、人間関係の悩み"",""恋愛相談、人間関係の悩み"",""学校の悩み""]",2020/2/6,5,1,500
