key,title,body,tags,date,watch,answer,thanks,kininaru
9709864,友人の一言が不快、心が狭い？,"私は歯列矯正をしています。
先日友人に歯列矯正について話し値段を伝えると、高いと感じたのか「私は歯並びよくて良かった」と言われました、、、
お世辞にもいいと思える歯並びではないですし、思ったとしても口に出してしまうことに驚きました。

これで不快に感じてしまう私は心が狭いでしょうか、、、
私、友人ともに30前半（女）です。","[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""友達・仲間関係""]",2020/02/06 16:42,0,1,0,0
9709691,素直になるには,"長文失礼します。

私は26歳女です。
母子家庭で育ったのですが、高校生の時に母親が病死してから、5つ上の兄と暮らして専門学校も兄に行かせてもらいました。
当時、「自分がいない方が生活も楽だろうな…」と思いながら二人で暮らしていました。

無事に卒業し、就職して故郷を離れ一人暮らしを始めました。
しかし、仕事が精神的に辛いのと、以前よりいずれは地元に戻りたいと思っていたのもあり、上司に退職したい旨を伝えました。
上司に「個人として辞めてほしくない。悲しいよ。」と言っていただき、気持ちに応えたくて残ることにしました。
それ以降、上司は感謝や信頼を言葉で時々伝えてくれるようになりました。
しかし、過去のことから「自分が必要とされてる」事に動揺してしまう自分がいて、素直に受け止められず、相手を傷付けてしまったりします。

どうすれば素直になれるでしょうか。","[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""人生相談""]",2020/02/06 02:46,100,3,1,0
9709696,やっぱり深い意味は無い？(恋愛),"バイト先に好きな人がいるのですが、この前 今日何時上がり？と聞かれて、答えたら「俺もそれくらいに上がれるかな～、一緒に帰ろうよ」と言われて約束をしたのですが、予定時間より私が延長し
、相手もなんだかんだで仕事終わらず予定より遅くなったのですが相手が「俺ももう終わる待って！」と急いで(？)くれて好きな人と帰ることが出来ました。
好きな人とはいつも帰る時間が違うので(私の方が何時間も後に帰る)奇跡に近すぎてとても嬉しかったのですが、なんとこないだ たまたま私が早めに帰る時間だった日に、好きな人から私が帰る時間になった時に「帰らないの？」と聞かれて、これ終わったら帰りますと伝え、やることが終わったので好きな人に やること終わったので帰っちゃっていいですかね？と確認した時に「まってまって俺ももう終わるからもう少しだけ待ってて？」と言われ、待ったことにより一緒に帰れたのですが、素直に私は引き止められて一緒に帰れたことが嬉しかった、少し期待なんかもしちゃう自分がいるんです。

また、好きな人に好意寄せてる女性がいて、「その人の気持ちには応えられない」と言っていたり、「俺は好き嫌いはっきりしてる」など言っていました。
その女性の遊びの誘いなども全部断っていたり、私が彼女作らないのか聞いた時にその女性はダメなの？と聞いてしまった時があったのですが、その時に「むりむりー、付き合うなら可愛いコと付き合いたい笑」と笑いながら言っていました…
その話をした日が初めて帰れた日だったのですが、帰ってる時に恋愛の話を好きな人がしていて、冗談やお世辞かもしれませんが「〇〇さん可愛いしね」と言ってくれました。
「〇〇さんが△歳くらいだったらな…なんで△歳じゃないのー？笑」と言われてしまいました…。(年齢差が引っかかるのか…？)

一緒に帰った以外にもたまに意味深(？)な事を言われたりするのもあり、気になって仕方ないんですが、本人に聞くなんて出来ないので皆さんだったら！という個人的な意見をお聞きしたいです。

意味深な発言を軽くあげると、私が久々にバイトへ行った時に「〇〇さんがいなくて寂しかったよー」や、からかわれたり、「〇〇さんにも会えたことだし帰ろうかな」など他にもありますが言ってきます。

その人が誰かと帰ってるのは他にいないと思います。自転車でサーっと帰るし、定時で出来ることなら上がって早く家に帰りたい人みたいです。
同じ方面でもう1人女性がいるのですがその人には誘うことはないので(話さない訳じゃない)好きな人と帰れたりで舞い上がってしまい文面が理解しづらかったらすみません…汗

私と好きな人が会話をしていた時に違う男性社員から「〇〇くん鼻の下伸びてるよ笑」とその方自身もからかわれたり？もされるような気さくな感じ(表現難しい…)の男性です","[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""恋愛相談""]",2020/02/06 05:22,31,6,2,0
9709702,超巨ベビーカー、大人用のベビーカーが、あったら乗り,超巨ベビーカー、大人用のベビーカーが、あったら乗りたいですか,"[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""人生相談""]",2020/02/06 06:40,0,1,1,0
9709705,悪口,中学生男子は嫌いな女子にどんな悪口をいいますか？,"[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""友達・仲間関係""]",2020/02/06 07:11,0,1,0,0
9709710,年齢差。,学生の頃はどうしても学年で年齢差をみがちですが大人になると年度年齢関係なく生年のみの差で年齢差を言うようになりますか？何年生まれ？とは聞いても何年何月生まれ？とはあんまり聞かないですから。,"[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""友達・仲間関係""]",2020/02/06 07:45,0,3,0,0
9709715,プレマリンについて,プレマリンを服用することによって、生理が遅れることはありますか？,"[""OKWAVE"",""人間関係・人生相談"",""妊娠・出産・育児"",""不妊""]",2020/02/06 08:03,0,0,0,0
9709723,20歳年上の男性とのデート費用について,"現在20歳年上の男性から度々デートに誘われています。
私は彼に対して可もなく不可もなくといった感じです。
彼はかなりグルメな方で、毎回デートで行くレストラン費用が私にとって高いです。
彼が8割ほど払ってくれるものの、ちょっと毎回は厳しいなと。
しかも付き合ってはいないので、家でのデートの提案が出来ません。毎回は厳しいので、彼との関係も考えてしまいます。 

この様な時、みなさんならどうしますか？","[""OKWAVE"",""人間関係・人生相談"",""結婚"",""婚活""]",2020/02/06 09:02,0,9,0,0
9709729,恋人のシフトは把握しておきたいですか？,"付き合って3年になります。
前までは私も彼もカレンダー通りの休みでしたが、1年前より私がシフト制になり休みがバラバラです。
だけど、元々彼氏は週末は友達との遊び優先の人で、私の予定や休みがどうこう気にしない人でした。
彼氏が空いてる日に私が空いていたら一緒に過ごす、彼氏が出かけていたら帰りに連絡来て過ごす。
そのスタンスで3年きました。
彼氏は基本一緒にいたい人だから、毎週末は必ず彼氏の家に泊まり、彼氏が出かけたら私も好きなことして、帰りにまた合流という感じで、週3日は会ってました。
最近になって、彼氏が週末出かけないことが増えてきました。
周りが結婚ラッシュ出産ラッシュで飲み会やイベントが減ってきたんだと思います。
彼氏から連絡来ても私が仕事だったり、遊びに行っていたりして、そうすると、どこ行ってたの？誰と？とか聞いてきます。
たまに私が友達の付き合いで異性と飲んでいたりしたので、それが気に食わなかったのか未だに、前聞いたら男がいたりもするわけじゃんと言ってきます。
ちなみに、彼氏の友達も男女大勢いるけど、友達だし、みんな結婚したりだから問題ないと言います。
私は当初、そのことで嫌な思いをしたり悲しい気持ちになったこともありました。
だけど、3年経ち、今は何も思いません。
彼氏がずっとそんなんだから、慣れてしまい、彼の行動や友達関係に興味が湧かないです。それが本当に嫌になったら別れるだけといつも思ってます。
彼氏に予定がなくて、私に予定があると、断ってとか行かないでよとか言ってきます。
友達の彼女とかは好きだから予定キャンセルしていたりすると。
私はキャンセルなんてしないと言って出かけるけど、何時になる？と連絡がしつこく来ます。
自分が予定ある時は私のことはほったらかしで行くのに、本当自分勝手だなと思います。
で、最近私に不満が募ってるみたいで、とにかく報告をしてと言われました。
どういうことに対してか？と聞くと、全部！と言われました。
これを強制はしてこないと思っているけど、本音なのかなと思いました。
そしたら、急に今月の週末のシフトを全部教えてと連絡がきました。
今までも、来週は？と確認はあったけど、1か月まとめて言ってきました。
私の中で教えたくないっていうわけではないのですが、、なんとなく全部把握されることに抵抗があります。
教えたことで、向こうは会う予定を立てやすいと考えているのかもしれないけれど、、
3年もお互いの予定は把握しないできたし、今までみたいに、明日は？とかで、いいのになと思ってしまいます、、
一般的にどうなんでしょうか？
世の中の彼女は、みんな彼氏に随時行動報告したり、休みを伝えているものですか？","[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""恋愛相談""]",2020/02/06 09:24,0,4,0,0
9709756,彼女・彼の前で他の異性を褒める？褒めない？,"彼女・彼の前で他の異性を褒めますか？

わたしの彼は私の前で他の女性を絶対に褒めないんです。
共通の知人の女性のことを私が肯定して話を振っても、そうだねとも言わない。

かたや友達の彼は他の女性を褒めるといいます。

みなさんは褒める？褒めない？どちらですか？
自覚している理由があれば併せて教えてください。","[""OKWAVE"",""人間関係・人生相談"",""恋愛・人生相談"",""恋愛相談""]",2020/02/06 10:28,0,5,1,0
